x_key,y_key,image
-0.09777778,-0.01222222,image1
0.12666667,-0.01111111,image2
-0.52555556,0.41222222,image3
-0.51888889,-0.4,image4
-0.30888889,-0.4,image5
-0.09888889,0.41666667,image6
-0.52333333,-0.01555556,image7
-0.32555556,-0.01,image8
-0.33,0.41666667,image9
-0.52333333,0.19111111,image10
0.12444444,-0.21444444,image11
-0.52111111,-0.20333333,image12
0.12666667,0.20666667,image13
0.12444444,0.41111111,image14
-0.08666667,-0.39888889,image15
0.11777778,-0.4,image16
